bkgrnd,treatment,hour_of_night,pulse_duration,family,cutoff_status,cutoff_mass,sex,status_change,status
be_px4,12L:12D,0,0,4,larva,139,,2/13/2023,dead
be_px4,12L:12D,0,0,4,larva,111,,2/13/2023,dead
be_px4,12L:12D,0,0,4,larva,50,,2/13/2023,dead
be_px4,12L:12D,0,0,1,larva,117,male,2/20/2023,pupa
be_px4,12L:12D,0,0,3,larva,82,male,2/20/2023,pupa
be_px4,12L:12D,0,0,4,larva,93,male,2/20/2023,pupa
be_px4,12L:12D,0,0,4,larva,103,female,2/20/2023,pupa
be_px4,12L:12D,0,0,4,larva,122,female,2/20/2023,pupa
be,12L:12D,0,0,b,dead,,,,
be,12L:12D,0,0,b,dead,,,,
be,12L:12D,0,0,b,dead,,,,
be,12L:12D,0,0,b,dead,,,,
be,12L:12D,0,0,b,moth,,female,,
be,12L:12D,0,0,b,moth,,female,,
be,12L:12D,0,0,b,moth,,male,,
be,12L:12D,0,0,b,moth,,male,,
be,12L:12D,0,0,b,pupa,,male,,
be,12L:12D,0,0,b,pupa,,male,,
be,12L:12D,0,0,b,pupa,,male,,
be,12L:12D,0,0,b,pupa,,female,,
be,12L:12D,0,0,mixed,dead,,,,
be,12L:12D,0,0,mixed,dead,,,,
be,12L:12D,0,0,mixed,larva,114,male,3/21/2023,pupa
be,12L:12D,0,0,mixed,larva,162,female,2/26/2023,pupa
be,12L:12D,0,0,mixed,larva,158,female,3/3/2023,pupa
be,12L:12D,0,0,mixed,larva,116,male,3/12/2023,pupa
be,12L:12D,0,0,mixed,larva,167,female,2/26/2023,pupa
be,12L:12D,0,0,mixed,larva,167,female,3/9/2023,pupa
be,12L:12D,0,0,mixed,larva,161,female,3/1/2023,pupa
be,12L:12D,0,0,mixed,larva,199,female,3/15/2023,pupa
be,12L:12D,0,0,mixed,larva,178,female,3/3/2023,pupa
uz,12L:12D,0,0,a,larva,147,female,4/2/2023,pupa
uz,12L:12D,0,0,a,larva,111,,3/13/2023,mia
uz,12L:12D,0,0,a,larva,148,female,4/2/2023,pupa
uz,12L:12D,0,0,a,larva,145,female,3/30/2023,pupa
uz,12L:12D,0,0,a,larva,113,male,4/8/2023,pupa
uz,12L:12D,0,0,a,larva,114,male,4/2/2023,pupa
uz,12L:12D,0,0,a,larva,118,,3/15/2023,pupa
uz,12L:12D,0,0,a,larva,112,,4/8/2023,larva
uz,12L:12D,0,0,a,larva,131,female,3/3/2023,pupa
uz,12L:12D,0,0,a,larva,142,,3/9/2023,dead
uz,12L:12D,0,0,a,larva,115,,3/30/2023,dead
uz,12L:12D,0,0,a,larva,147,,3/21/2023,dead
uz,12L:12D,0,0,a,larva,157,female,3/21/2023,pupa
uz,12L:12D,0,0,a,larva,119,female,3/30/2023,pupa
uz,12L:12D,0,0,a,larva,148,,3/21/2023,dead
uz,12L:12D,0,0,a,larva,142,female,4/8/2023,pupa
uz,12L:12D,0,0,a,larva,120,,4/8/2023,larva
uz,12L:12D,0,0,a,larva,115,,3/15/2023,pupa
uz,12L:12D,0,0,a,larva,138,female,4/2/2023,pupa
uz,12L:12D,0,0,a,larva,112,female,3/21/2023,pupa
uz,12L:12D,0,0,a,larva,95,,3/12/2023,dead
uz,12L:12D,0,0,a,larva,107,,3/31/2023,dead
uz,12L:12D,0,0,a,larva,120,,4/8/2023,larva
be_px4,12L:12D,0,0,1,larva,161,,3/15/2023,pupa
be_px4,12L:12D,0,0,1,larva,100,male,3/1/2023,pupa
be_px4,12L:12D,0,0,1,larva,127,,2/26/2023,dead
be_px4,12L:12D,0,0,1,larva,173,female,2/23/2023,pupa
be_px4,12L:12D,0,0,1,larva,142,,3/12/2023,dead
be_px4,12L:12D,0,0,1,larva,172,female,3/9/2023,pupa
be_px4,12L:12D,0,0,1,larva,181,,3/27/2023,dead
be_px4,12L:12D,0,0,1,larva,152,,3/6/2023,pupa
be_px4,12L:12D,0,0,1,larva,116,male,2/23/2023,pupa
be_px4,12L:12D,0,0,1,larva,163,,3/9/2023,dead
be_px4,12L:12D,0,0,3,larva,69,,2/26/2023,dead
be_px4,12L:12D,0,0,3,larva,148,female,3/1/2023,pupa
be_px4,12L:12D,0,0,3,larva,116,female,3/21/2023,pupa
be_px4,12L:12D,0,0,3,larva,126,female,3/30/2023,pupa
be_px4,12L:12D,0,0,3,larva,109,,2/26/2023,dead
be_px4,12L:12D,0,0,4,larva,84,,,
be_px4,12L:12D,0,0,4,larva,150,,3/3/2023,pupa
be_px4,12L:12D,0,0,4,larva,159,female,2/23/2023,pupa
be_px4,12L:12D,0,0,4,larva,137,,2/23/2023,dead
be_px4,12L:12D,0,0,1,pupa,,female,,
be_px4,12L:12D,0,0,4,pupa,,male,,
