treatment,start,end,type
12L:12D,0,12,light
12L:12D,12,24,dark
12L:7.5D:1.5L:3D,0,12,light
12L:7.5D:1.5L:3D,12,19.5,dark
12L:7.5D:1.5L:3D,19.5,21,light
12L:7.5D:1.5L:3D,21,24,dark
12L:8D:1.5L:2.5D,0,12,light
12L:8D:1.5L:2.5D,12,20,dark
12L:8D:1.5L:2.5D,20,21.5,light
12L:8D:1.5L:2.5D,21.5,24,dark
12L:8.5D:1.5L:2D,0,12,light
12L:8.5D:1.5L:2D,12,20.5,dark
12L:8.5D:1.5L:2D,20.5,22,light
12L:8.5D:1.5L:2D,22,24,dark
12L:9D:1.5L:1.5D,0,12,light
12L:9D:1.5L:1.5D,12,21,dark
12L:9D:1.5L:1.5D,21,22.5,light
12L:9D:1.5L:1.5D,22.5,24,dark
